Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Arcanine (Hisuian),57,59,fire,rock,207.6,151.3,194,6090318,50,3556,Snarl,Wild Charge,Rock Slide,4,4,3,50000
Bouffalant,56.9,626,normal,none,176.5,165.5,194,5667036,50,3163,Mud Shot,Stomp,Megahorn,5,7,3,50000
Tyrantrum,56.9,697,rock,dragon,203.4,173.1,174,6124922,50,3537,Dragon Tail,Meteor Beam,Stone Edge,7,7,5,75000
Slowking,56.8,199,water,psychic,161.3,163.9,194,5128688,50,2877,Confusion,Surf,Scald,4,5,3,50000
Kangaskhan,56.7,115,normal,none,164.7,151.3,208,5181562,50,2924,Mud Slap,Crunch,Stomp,5,4,3,50000
Steelix,56.6,208,steel,ground,137,241.2,164,5417290,50,2729,Dragon Tail,Breaking Swipe,Crunch,4,5,5,75000
Crobat (Shadow),56.5,169,poison,flying,175.6,162.2,178,5069818,50,2992,Air Slash,Cross Poison,Shadow Ball,4,7,1,10000
Blissey,56.4,242,normal,none,121,154.6,429,8026133,50,3117,Zen Headbutt,Wild Charge,Hyper Beam,8,14,5,75000
Slowbro (Shadow),56.4,80,water,psychic,161.3,163.9,194,5128688,50,2877,Confusion,Surf,Ice Beam,4,5,3,50000
Slowking (Shadow),56.2,199,water,psychic,161.3,163.9,194,5128688,50,2877,Confusion,Surf,Scald,4,5,3,50000
Steelix (Shadow),56.2,208,steel,ground,137,241.2,164,5417290,50,2729,Dragon Tail,Breaking Swipe,Crunch,4,5,5,75000
Armaldo (Shadow),55.8,348,rock,bug,199.2,158.8,164,5187078,50,3220,Fury Cutter,Rock Blast,Liquidation,10,12,3,50000
Crobat,55.8,169,poison,flying,175.6,162.2,178,5069818,50,2992,Air Slash,Cross Poison,Shadow Ball,4,7,1,10000
Bisharp,55.6,625,dark,steel,207.6,160.5,149,4963469,50,3215,Snarl,Dark Pulse,X-Scissor,4,4,5,75000
Porygon2 (Shadow),55.4,233,normal,none,179,163.9,178,5220390,50,3065,Lock On,Tri Attack,Zap Cannon,10,16,3,50000
Oranguru,55.2,765,normal,psychic,153.8,173.9,186,4975115,50,2770,Confusion,Foul Play,Future Sight,4,6,3,75000
Porygon2,54.8,233,normal,none,179,163.9,178,5220390,50,3065,Lock On,Tri Attack,Return,10,14,3,50000
Braviary (Hisuian),54.5,628,psychic,flying,191.6,127.7,215,5261210,50,3181,Air Slash,Brave Bird,Fly,7,5,5,75000
Carracosta,54.3,565,water,rock,173.9,178.1,163,5050828,50,2964,Water Gun,Surf,Body Slam,15,12,5,75000
Yanmega,54.3,469,bug,flying,206.7,143.7,180,5346536,50,3330,Wing Attack,Aerial Ace,Ancient Power,6,7,3,50000
Kingdra (Shadow),54.1,230,water,dragon,175.6,175.6,164,5058307,50,2986,Dragon Breath,Outrage,Octazooka,20,17,3,50000
Alakazam (Shadow),53.9,65,psychic,none,240.3,152.9,135,4961808,50,3456,Counter,Fire Punch,Shadow Ball,7,10,3,50000
Oinkologne (Female),53.6,916,normal,none,154.6,148.7,223,5128197,50,2819,Tackle,Body Slam,Dig,12,17,1,10000
Lickilicky,53.5,463,normal,none,147.9,164.7,215,5236920,50,2789,Lick,Body Slam,Shadow Ball,12,19,3,50000
Miltank,53.5,241,normal,none,144.5,174.8,194,4900747,50,2662,Rollout,Body Slam,Ice Beam,3,5,5,75000
Carracosta (Shadow),53.1,565,water,rock,173.9,178.1,163,5050828,50,2964,Water Gun,Liquidation,Ancient Power,15,15,5,75000
Musharna,52.6,518,psychic,none,166.4,152.1,225,5693706,50,3079,Charge Beam,Psyshock,Dazzling Gleam,4,5,3,50000
Armaldo,52.5,348,rock,bug,199.2,158.8,164,5187078,50,3220,Fury Cutter,Rock Blast,Liquidation,10,12,3,50000
Omastar (Shadow),52.5,139,rock,water,186.5,181.5,157,5315880,50,3150,Mud Shot,Rock Slide,Rock Blast,6,5,5,75000
Rampardos (Shadow),52.3,409,rock,none,260.5,104.2,196,5319958,50,3728,Smack Down,Rock Slide,Flamethrower,6,7,5,75000
Oinkologne,52.2,916,normal,none,168.9,141.2,215,5126401,50,2949,Tackle,Body Slam,Dig,12,17,1,10000
Alakazam,51.6,65,psychic,none,240.3,152.9,135,4961808,50,3456,Counter,Fire Punch,Shadow Ball,7,10,3,50000
Omastar,50.5,139,rock,water,186.5,181.5,157,5315880,50,3150,Mud Shot,Rock Slide,Rock Blast,6,5,5,75000
Emboar (Shadow),50.3,500,fire,fighting,210.1,119.3,215,5389340,50,3372,Ember,Blast Burn,Focus Blast,9,13,3,10000
Umbreon,48.6,197,dark,none,118.5,214.3,194,4925267,50,2416,Snarl,Foul Play,Last Resort,4,5,5,75000
Rampardos,48.3,409,rock,none,260.5,104.2,196,5319958,50,3728,Smack Down,Rock Slide,Flamethrower,6,7,5,75000
Aerodactyl,45.8,142,rock,flying,198.3,146.2,172,4987219,50,3147,Steel Wing,Rock Slide,Earth Power,8,10,5,75000
Slaking,45.1,289,normal,none,256.3,152.1,251,9784100,50,5010,Yawn,Body Slam,Earthquake,3,6,5,75000
Vanilluxe,44.6,584,ice,none,195.8,167.2,158,5172909,50,3190,Astonish,Blizzard,Signal Beam,8,6,3,50000
Reuniclus,44.3,579,psychic,none,192.4,137,215,5666701,50,3309,Hidden Power (Ice),Shadow Ball,Future Sight,7,9,3,50000
Aerodactyl (Shadow),42.5,142,rock,flying,198.3,146.2,172,4987219,50,3147,Steel Wing,Rock Slide,Earth Power,8,10,5,75000
Throh (Shadow),42.2,538,fighting,none,157.1,147.1,231,5337777,50,2896,Low Kick,Body Slam,Brick Break,7,8,5,75000
Throh,41.8,538,fighting,none,157.1,147.1,231,5337777,50,2896,Low Kick,Body Slam,Brick Break,7,8,5,75000
Noivern,41,715,flying,dragon,184.9,159.7,178,5253697,50,3125,Air Slash,Hurricane,Draco Meteor,8,8,5,75000
Reuniclus (Shadow),40.8,579,psychic,none,192.4,137,215,5666701,50,3309,Hidden Power (Ice),Shadow Ball,Future Sight,7,9,3,50000
